"Colorful  지포스 GTX1050 iGame U OC D5 2GB,Colorful,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,,,,,히트파이프+쿨러,243 mm,40 mm,최대 75W,171540,http://timg.danawa.com/prod_img/500000/572/611/img/4611572_1.jpg"
"GIGABYTE  지포스 GT730 UD2 D5 1GB 블랙펄,GIGABYTE,NVIDIA,지포스 GT7xx,PCI-Express 2.0 x8,GDDR5(DDR5),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,165 mm,25 mm,,69200,http://timg.danawa.com/prod_img/500000/170/301/img/3301170_1.jpg"
"갤럭시 GALAX 지포스 GT730 EX OC D5 1GB LP,갤럭시,NVIDIA,지포스 GT7xx,PCIe2.0x16,GDDR5(DDR5),1GB,64-bit,1개,,,,,,,,,,방열판+쿨러,145 mm,14 mm,,64920,http://timg.danawa.com/prod_img/500000/307/927/img/2927307_1.jpg"
"GIGABYTE  지포스 GT710 UD2 D3 2GB 팬리스,GIGABYTE,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),2GB,64-bit,1개,,,O,,,,,,,방열판,150 mm,36 mm,,53610,http://timg.danawa.com/prod_img/500000/350/956/img/3956350_1.jpg"
"GAINWARD  지포스 GTX1050 게이머 스피릿 D5 2GB 디앤디컴,GAINWARD,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,,,,최대 75W,141520,http://timg.danawa.com/prod_img/500000/056/587/img/4587056_1.jpg"
"STCOM ALPHA 지포스 GTX1050 D5 2GB,STCOM,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,,,,,,,,,151 mm,40 mm,최대 75W,142600,http://timg.danawa.com/prod_img/500000/645/782/img/4782645_1.jpg"
"리드텍  쿼드로 GP100 HBM2 16GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe3.0x16,HBM(2세대),16GB,4096-bit,,4개,,,,,,,,,,,,최대 235W,11797980,http://timg.danawa.com/prod_img/500000/561/041/img/5041561_1.jpg"
"ZOTAC  지포스 GTX1050 D5 2GB LP,ZOTAC,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,,160 mm,,최대 75W,160820,http://timg.danawa.com/prod_img/500000/390/021/img/5021390_1.jpg"
"GIGABYTE  지포스 GT710 UD2 D3 1GB 미니미,GIGABYTE,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,,,,46000,http://timg.danawa.com/prod_img/500000/466/733/img/3733466_1.jpg"
"GIGABYTE  지포스 GT730 UD2 D3 2GB 미니미,GIGABYTE,NVIDIA,지포스 GT7xx,PCI-Express 2.0 x8,GDDR3(DDR3),2GB,,1개,,,O,,,,,,,방열판,145 mm,36 mm,,76660,http://timg.danawa.com/prod_img/500000/205/782/img/2782205_1.jpg"
