"AMD 라이젠 7 1700X (서밋 릿지)(멀티팩),AMD,AMD(라이젠 7),AMD(소켓AM4),64 비트,옥타(8) 코어,쓰레드 16개,3.4 GHz,14nm,95 W,,,542260,http://timg.danawa.com/prod_img/500000/482/932/img/4932482_1.jpg"
"인텔 제온 E3-1270V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 8개,3.6 GHz,14nm,80 W,,,498490,http://timg.danawa.com/prod_img/500000/305/589/img/3589305_1.jpg"
"AMD 셈프론 APU 2650 (카비니)(정품),AMD,AMD(셈프론 APU),AMD(소켓AM1),64(32) 비트,듀얼 코어,쓰레드 2개,1.45 GHz,28nm,25 W,윈도우 7 가상화,AMD R3 시리즈,42220,http://timg.danawa.com/prod_img/500000/417/583/img/2583417_1.jpg"
"인텔 제온 E5-2603 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,헥사(6) 코어,쓰레드 6개,1.7 GHz,14nm,85 W,,,319260,http://timg.danawa.com/prod_img/500000/024/370/img/4370024_1.jpg"
"인텔 제온 E3-1225V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 4개,3.3 GHz,14nm,80 W,,인텔 HD P530,329340,http://timg.danawa.com/prod_img/500000/585/600/img/3600585_1.jpg"
"AMD 셈프론 145 (사르가스)(정품),AMD,AMD(셈프론),AMD(소켓AM3),64(32) 비트,싱글 코어,쓰레드 1개,2.8 GHz,45nm,45 W,,,33420,http://timg.danawa.com/prod_img/500000/239/244/img/1244239_1.jpg"
"인텔 제온 E3-1245V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 8개,3.5 GHz,14nm,80 W,,인텔 HD P530,431280,http://timg.danawa.com/prod_img/500000/623/600/img/3600623_1.jpg"
"인텔 제온 E3-1240V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 8개,3.5 GHz,14nm,80 W,,,414470,http://timg.danawa.com/prod_img/500000/276/589/img/3589276_1.jpg"
"인텔 제온 E5-2690 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,12 코어,쓰레드 24개,2.6 GHz,14nm,135 W,,,3058140,http://timg.danawa.com/prod_img/500000/330/370/img/4370330_1.jpg"
"인텔 제온 E5-2640 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,10 코어,쓰레드 20개,2.4 GHz,14nm,85 W,,,1377840,http://timg.danawa.com/prod_img/500000/104/370/img/4370104_1.jpg"
"인텔 제온 E5-2650 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,12 코어,쓰레드 24개,2.2 GHz,14nm,105 W,,,1713900,http://timg.danawa.com/prod_img/500000/139/370/img/4370139_1.jpg"
