"COX  A1 템포,COX,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 3개,최대 280 mm,CPU쿨러: 최대 145mm,,14500,http://timg.danawa.com/prod_img/500000/537/102/img/4102537_1.jpg"
"마이크로닉스  Frontier ARC-3000 화이트,마이크로닉스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 6개,최대 370 mm,CPU쿨러: 최대 165mm,2열 수랭쿨러 지원,52000,http://timg.danawa.com/prod_img/500000/337/494/img/3494337_1.jpg"
"ABKO  NCORE 레인보우 S 튜닝 LED 컨트롤 블랙,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 360 mm,CPU쿨러: 최대 161mm,2열 수랭쿨러 지원,61000,http://timg.danawa.com/prod_img/500000/288/623/img/3623288_1.jpg"
"ABKO  NCORE G200 타노스 USB3.0 화이트,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 380 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원,65500,http://timg.danawa.com/prod_img/500000/958/303/img/3303958_1.jpg"
"ABKO  SUITMASTER 501S RGB 컨트롤 블랙,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 7개,최대 450 mm,CPU쿨러: 최대 160mm,2열 수랭쿨러 지원,80000,http://timg.danawa.com/prod_img/500000/680/372/img/4372680_1.jpg"
"마이크로닉스  32형 FullHD 144Hz 게이밍 일체형케이스,마이크로닉스,기타,미들타워,표준-ATX,,O,O,,,,,O,최대 1개,최대 305 mm,,,559000,http://timg.danawa.com/prod_img/500000/472/945/img/4945472_1.jpg"
"3RSYS  L530 화이트 강화유리,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 5개,최대 410 mm,CPU쿨러: 최대 162mm,,67010,http://timg.danawa.com/prod_img/500000/541/742/img/4742541_1.jpg"
"잘만  Z1,잘만,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,최대 1개,최대 360 mm,,,34000,http://timg.danawa.com/prod_img/500000/968/230/img/2230968_1.jpg"
"COX  AG 200X USB3.0 풀 아크릴 윈도우 화이트,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 375 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원,49500,http://timg.danawa.com/prod_img/500000/014/922/img/3922014_1.jpg"
"COX  A5 벨로체 USB3.0 풀 아크릴 윈도우 화이트,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 375 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원,35000,http://timg.danawa.com/prod_img/500000/646/081/img/4081646_1.jpg"
"ABKO  SUITMASTER 501S RGB 무선리모트 강화유리 화이트,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 7개,최대 450 mm,CPU쿨러: 최대 160mm,2열 수랭쿨러 지원,87500,http://timg.danawa.com/prod_img/500000/849/668/img/4668849_1.jpg"
"마이크로닉스  레이저 RGB LED,마이크로닉스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,최대 405 mm,CPU쿨러: 최대 158mm,2열 수랭쿨러 지원,52000,http://timg.danawa.com/prod_img/500000/804/532/img/4532804_1.jpg"
"잘만  Z1 NEO,잘만,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 5개,최대 375 mm,CPU쿨러: 최대 160mm,,39000,http://timg.danawa.com/prod_img/500000/785/599/img/3599785_1.jpg"
"3RSYS  L1100,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 5개,최대 380 mm,CPU쿨러: 최대 172mm,3열 수랭쿨러 지원,94350,http://timg.danawa.com/prod_img/500000/325/154/img/5154325_1.jpg"
"Fractal Design  Define Mini C Window,Fractal Design,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 5개,최대 315 mm,CPU쿨러: 168mm,2열 수랭쿨러 지원,114720,http://timg.danawa.com/prod_img/500000/712/974/img/4974712_1.jpg"
"Fractal Design  Define C Window,Fractal Design,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 5개,최대 315 mm,CPU쿨러: 168mm,3열 수랭쿨러 지원,121150,http://timg.danawa.com/prod_img/500000/627/974/img/4974627_1.jpg"
"CORSAIR  CRYSTAL SERIES 570X RGB,CORSAIR,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 370 mm,CPU쿨러: 최대 170mm,3열 수랭쿨러 지원,280900,http://timg.danawa.com/prod_img/500000/468/816/img/4816468_1.jpg"
"마이크로닉스  루팡,마이크로닉스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 3개,최대 330 mm,CPU쿨러: 최대 145mm,,19500,http://timg.danawa.com/prod_img/500000/966/954/img/4954966_1.jpg"
"잘만  Z3 PLUS,잘만,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,최대 1개,최대 360 mm,,,43000,http://timg.danawa.com/prod_img/500000/217/147/img/2147217_1.jpg"
"마이크로닉스  32형 QHD 게이밍 일체형케이스,마이크로닉스,기타,미들타워,표준-ATX,,O,O,,,,,O,최대 1개,최대 305 mm,,,558890,http://timg.danawa.com/prod_img/500000/494/945/img/4945494_1.jpg"
"COX  A7 레가토 USB3.0 강화유리 블랙,COX,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 5개,최대 415 mm,CPU쿨러: 최대 165mm,2열 수랭쿨러 지원,57000,http://timg.danawa.com/prod_img/500000/615/874/img/4874615_1.jpg"
"ABKO  NCORE 넘버원,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 1개,최대 340 mm,CPU쿨러: 최대 140mm,,8800,http://timg.danawa.com/prod_img/500000/599/953/img/2953599_1.jpg"
"3RSYS  AD 500,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 12개,최대 427 mm,CPU쿨러: 최대 175mm,3열 수랭쿨러 지원,380620,http://timg.danawa.com/prod_img/500000/294/989/img/4989294_1.jpg"
"아이구주 나라테크윈 I-2AL USB 3.0,아이구주,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,,최대 1개,최대 220 mm,,,32000,http://timg.danawa.com/prod_img/500000/596/403/img/3403596_1.jpg"
"3RSYS  R360 풀 아크릴 윈도우 화이트,3RSYS,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 3개,최대 307 mm,CPU쿨러: 최대 135mm,,26500,http://timg.danawa.com/prod_img/500000/153/176/img/5176153_1.jpg"
"마이크로닉스  Frontier S300 Mini 화이트,마이크로닉스,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 1개,최대 340 mm,CPU쿨러: 최대 156mm,2열 수랭쿨러 지원,37000,http://timg.danawa.com/prod_img/500000/421/927/img/3927421_1.jpg"
"아이구주  M2 타이푼 RING LED & 강화유리,아이구주,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,최대 390 mm,CPU쿨러: 최대 160mm,,51000,http://timg.danawa.com/prod_img/500000/523/040/img/5040523_1.jpg"
"IN WIN  EM048 USB3.0,IN WIN,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 1개,최대 350 mm,CPU쿨러: 최대 165mm,,38060,http://timg.danawa.com/prod_img/500000/298/523/img/2523298_1.jpg"
"대양케이스  Moonlight 블랙 화이트 LED 풀 아크릴 윈도우,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,최대 2개,최대 360 mm,CPU쿨러: 최대 170mm,2열 수랭쿨러 지원,44000,http://timg.danawa.com/prod_img/500000/124/544/img/4544124_1.jpg"
"COX  A3 인트로 USB3.0 풀 아크릴 윈도우 화이트,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 6개,최대 380 mm,CPU쿨러: 최대 160mm,,28500,http://timg.danawa.com/prod_img/500000/734/225/img/5225734_1.jpg"
"COX  A3 인트로 USB3.0 풀 아크릴 윈도우 블랙,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 6개,최대 380 mm,CPU쿨러: 최대 160mm,,26420,http://timg.danawa.com/prod_img/500000/724/225/img/5225724_1.jpg"
"대양케이스  BARON USB 3.0 풀 아크릴 윈도우,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,2개,최대 360 mm,CPU쿨러: 160mm,2열 수랭쿨러 지원,39900,http://timg.danawa.com/prod_img/500000/475/169/img/5169475_1.jpg"
"3RSYS  J10,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,2개,최대 330 mm,CPU쿨러: 최대 147mm,,30020,http://timg.danawa.com/prod_img/500000/253/154/img/5154253_1.jpg"
"BRAVOTEC  스텔스 TX 블랙 파노라마 윈도우,BRAVOTEC,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 8개,최대 325 mm,CPU쿨러: 최대 165mm,2열 수랭쿨러 지원,59000,http://timg.danawa.com/prod_img/500000/193/334/img/3334193_1.jpg"
"마이크로닉스  팰콘 블랙,마이크로닉스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 310 mm,CPU쿨러: 최대 134mm,2열 수랭쿨러 지원,32400,http://timg.danawa.com/prod_img/500000/412/473/img/4473412_1.jpg"
"COX  A3 녹턴 USB3.0 풀 아크릴 윈도우 블랙,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,380 mm,CPU쿨러: 156mm,2열 수랭쿨러 지원,33240,http://timg.danawa.com/prod_img/500000/202/013/img/5013202_1.jpg"
"ABKO  SUITMASTER 720G RGB 컨트롤 4면 강화유리 with HALO DOUBLING,ABKO,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,6개,최대 400 mm,CPU쿨러: 최대 165mm,3열 수랭쿨러 지원,149000,http://timg.danawa.com/prod_img/500000/738/186/img/5186738_1.jpg"
"BRAVOTEC  디파이 B40 BLACK,BRAVOTEC,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 2개,최대 295 mm,CPU쿨러: 최대 180mm,2열 수랭쿨러 지원,39000,http://timg.danawa.com/prod_img/500000/383/632/img/3632383_1.jpg"
"아이구주  M70 USB 3.0,아이구주,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 2개,최대 310 mm,CPU쿨러: 최대 150mm,,21500,http://timg.danawa.com/prod_img/500000/362/668/img/3668362_1.jpg"
"마이크로닉스  Noir(느와르) Mini USB 3.0,마이크로닉스,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,,1개,최대 350 mm,CPU쿨러: 최대 150mm,,32000,http://timg.danawa.com/prod_img/500000/612/248/img/2248612_1.jpg"
"BRAVOTEC  스텔스 FX470 파노라마 윈도우 블랙,BRAVOTEC,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 8개,최대 325 mm,CPU쿨러: 최대 165mm,3열 수랭쿨러 지원,76000,http://timg.danawa.com/prod_img/500000/238/471/img/3471238_1.jpg"
"CORSAIR  OBSIDIAN 900D,CORSAIR,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 9개,최대 540 mm,CPU쿨러: 최대 180mm,3열 수랭쿨러 지원,546800,http://timg.danawa.com/prod_img/500000/362/113/img/2113362_1.jpg"
"아이구주 나라테크윈 N-2AL USB 3.0,아이구주,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,최대 4개,최대 350 mm,CPU쿨러: 최대 155mm,2열 수랭쿨러 지원,58970,http://timg.danawa.com/prod_img/500000/666/701/img/3701666_1.jpg"
"3RSYS  L1000 강화유리,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 5개,최대 380 mm,CPU쿨러: 최대 172mm,2열 수랭쿨러 지원,89000,http://timg.danawa.com/prod_img/500000/516/352/img/4352516_1.jpg"
