"TeamGroup  L5 Lite(120GB),TeamGroup,내장형,2.5형(6.4cm),SATA3 (6Gb/s),120GB,TLC(기타),3D낸드,,,최대 300MB/s,최대 500MB/s,,,,,,,,65400,http://timg.danawa.com/prod_img/500000/320/087/img/5087320_1.jpg"
"마이크론 Crucial MX300 M.2 2280 대원CTS(1TB),마이크론,내장형,M.2 (2280),SATA3 (6Gb/s),1TB,TLC(기타),3D낸드,,마벨 88SS1074,최대 510MB/s,최대 530MB/s,,,,,,,,382800,http://timg.danawa.com/prod_img/500000/971/441/img/4441971_1.jpg"
"Plextor  M8PeY PCIe(1TB),Plextor,내장형,PCIe 카드,PCIe3.0x4 (32GT/s),1TB,MLC(토글),,15 nm,마벨 88SS1093,최대 1400MB/s,최대 2500MB/s,,,,,,,,845350,http://timg.danawa.com/prod_img/500000/014/299/img/4299014_1.jpg"
"Plextor  M8PeG M.2 2280(512GB),Plextor,내장형,M.2 (2280),PCIe3.0x4 (32GT/s),512GB,MLC(토글),,15 nm,마벨 88SS1093,최대 1300MB/s,최대 2300MB/s,,,,,,,,357650,http://timg.danawa.com/prod_img/500000/807/298/img/4298807_1.jpg"
"ADATA  XPG SX8000 M.2 2280(256GB),ADATA,내장형,M.2 (2280),PCIe3.0x4 (32GT/s),256GB,MLC(기타),3D낸드,,실리콘모션 SMI2260,최대 1100MB/s,최대 2000MB/s,,,,,,,,184000,http://timg.danawa.com/prod_img/500000/498/809/img/4809498_1.jpg"
"라온티앤아이  MX370 mSATA(128GB),라온티앤아이,내장형,Mini SATA(mSATA),,128GB,MLC(토글),,,실리콘모션 SM2246EN,170MB/s,550MB/s,,,,,,,,75050,http://timg.danawa.com/prod_img/500000/974/957/img/3957974_1.jpg"
"타무즈  M720 M.2 2280(256GB),타무즈,내장형,M.2 (2280),PCIe3.0x4 (32GT/s),256GB,MLC(토글),2D낸드,15 nm,파이슨 PS5007-E7,최대 1450MB/s,최대 2750MB/s,,,,,,,,169400,http://timg.danawa.com/prod_img/500000/018/936/img/4936018_1.jpg"
"ADATA  XPG SX8000 M.2 2280(512GB),ADATA,내장형,M.2 (2280),PCIe3.0x4 (32GT/s),512GB,MLC(기타),3D낸드,,실리콘모션 SMI2260,최대 1100MB/s,최대 2500MB/s,,,,,,,,289480,http://timg.danawa.com/prod_img/500000/479/809/img/4809479_1.jpg"
"Plextor  M8PeGN M.2 2280(512GB),Plextor,내장형,M.2 (2280),PCIe3.0x4 (32GT/s),512GB,MLC(토글),,15 nm,마벨 88SS1093,최대 1300MB/s,최대 2300MB/s,,,,,,,,303460,http://timg.danawa.com/prod_img/500000/809/346/img/4346809_1.jpg"
"ZOTAC  SATA3 2.5 SSD to USB 3.0 어댑터,ZOTAC,SSD 주변기기,,2.5형(6.4cm),,,,,,,,,,,,,,,13870,http://timg.danawa.com/prod_img/500000/001/780/img/3780001_1.jpg"
