"TeamGroup  DDR4 16G PC4-19200 Elite,TeamGroup,DDR4,PC용,1ea,미포함,16GB,2400MHz,1.20V,138050,http://timg.danawa.com/prod_img/500000/485/121/img/4121485_1.jpg"
"TeamGroup T-Force DDR4 32G PC4-25600 CL16 Night Hawk Red (16Gx2),TeamGroup,DDR4,PC용,2ea,포함,32GB,3200MHz,1.35V,371430,http://timg.danawa.com/prod_img/500000/846/720/img/4720846_1.jpg"
"G.SKILL  DDR4 16G PC4-32000 CL19 TRIDENT Z (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,4000MHz,1.35V,371110,http://timg.danawa.com/prod_img/500000/462/591/img/4591462_1.jpg"
"GeIL  DDR4 16G PC4-19200 CL15 SUPER LUCE BLACK 레드 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,2400MHz,1.20V,178040,http://timg.danawa.com/prod_img/500000/283/783/img/3783283_1.jpg"
"GeIL  DDR4 8G PC4-19200 CL15 SUPER LUCE BLACK 화이트 (4Gx2),GeIL,DDR4,PC용,2ea,포함,8GB,2400MHz,1.20V,97290,http://timg.danawa.com/prod_img/500000/616/783/img/3783616_1.jpg"
"GeIL  DDR4 16G PC4-17000 CL15 EVO-X 화이트 RGB (16Gx1),GeIL,DDR4,PC용,1ea,포함,16GB,2133MHz,1.20V,158430,http://timg.danawa.com/prod_img/500000/043/989/img/4989043_1.jpg"
"TeamGroup T-Force DDR4 16G PC4-21300 CL15 Night Hawk Red (8Gx2),TeamGroup,DDR4,PC용,2ea,포함,16GB,2666MHz,1.20V,178010,http://timg.danawa.com/prod_img/500000/704/720/img/4720704_1.jpg"
"타무즈  노트북 DDR4 8G PC4-17000 CL15,타무즈,DDR4,노트북용,1ea,미포함,8GB,2133MHz,1.20V,65520,http://timg.danawa.com/prod_img/500000/081/546/img/4546081_1.jpg"
"G.SKILL  DDR4 8G PC4-19200 CL15 RIPJAWS V VS,G.SKILL,DDR4,PC용,1ea,포함,8GB,2400MHz,1.20V,89960,http://timg.danawa.com/prod_img/500000/266/564/img/4564266_1.jpg"
"ESSENCORE KLEVV DDR3 8G PC3-12800 CL9 FIT Faker Edition (4Gx2),ESSENCORE,DDR3,PC용,2ea,포함,8GB,1600MHz,1.50V,61360,http://timg.danawa.com/prod_img/500000/628/409/img/3409628_1.jpg"
"G.SKILL  DDR4 32G PC4-19200 CL15 TRIDENT Z RGB (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,2400MHz,1.20V,395530,http://timg.danawa.com/prod_img/500000/054/131/img/5131054_1.jpg"
"G.SKILL  DDR4 32G PC4-24000 CL14 TRIDENT Z RGB (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3000MHz,1.35V,541250,http://timg.danawa.com/prod_img/500000/082/131/img/5131082_1.jpg"
